0610007P14Rik	ORF11|RIKEN cDNA 0610007P14 gene
Tbc1d8	AD3|GRAM domain|BUB2-like protein 1|HBLP1|TBC1 domain family, member 8
Tbc1d8b	9030605E16Rik|4921505D17Rik|TBC1 domain family, member 8B
Tbc1d9	C76116|4933431N12Rik|TBC1 domain family, member 9
Tbc1d9b	2700008N14Rik|TBC1 domain family, member 9B
Tbca	co-chaperonin associated with a- & b-tubulin|Tbca13|cofactor A|tubulin cofactor A
Tbcb	2410007D12Rik|Ckap1|tubulin folding cofactor B
Tbcc	2810055C19Rik|tubulin-specific chaperone C
Tbccd1	5730478M09Rik|TBCC domain containing 1
Tbcd	A030005L14Rik|2310057L06Rik|tubulin-specific chaperone d
Tbce	C530005D02Rik|2610206D02Rik|tubulin-specific chaperone E
Tbcel	E130107N23Rik|Lrrc35|tubulin folding cofactor E-like
Tbck	C030007I09Rik|A630047E20Rik|1700120J03Rik|TBC1 domain containing kinase
Tbk1	1200008B05Rik|TANK-binding kinase 1
Tbkbp1	3110043L15Rik|TBK1 binding protein 1
Tbl1x	Tbl1|transducin (beta)-like 1 X-linked
Tbl1xr1	C21|A630076E03Rik|DC42|Ira1|TBLR1|C230089I12Rik|8030499H02Rik|transducin (beta)-like 1X-linked receptor 1
Tbl2	C76179|WS-bTRP|transducin (beta)-like 2
Tbl3	9430070M15Rik|transducin (beta)-like 3
Tbp	Gtf2d|TATA box binding protein
Tbpl1	Tlp|TRF2|TLF|TRP|TATA box binding protein-like 1
Tbpl2	Trf3|LOC227606|TATA box binding protein like 2
Tbr1	T-box brain gene 1
Tbrg1	TB-5|transforming growth factor beta regulated gene 1
Tbrg4	TB-12|Cpr2|2310042P22Rik|transforming growth factor beta regulated gene 4
Tbx1	T-box 1
Tbx10	Tbx13|Tbx7|T-box 10
Tbx15	Tbx8|Tbx14|de|T-box 15
Tbx18	2810404D13Rik|2810012F10Rik|T-box18
Tbx19	Tpit|D1Ertd754e|T-box 19
Tbx2	T-box 2
Tbx20	Tbx12|9430010M06Rik|T-box 20
Tbx21	T-bet|Tbet|TBT1|Tblym|T-box 21
Tbx22	D230020M15Rik|T-box 22
Tbx3	D5Ertd189e|T-box 3
Tbx4	T-box 4
Tbx5	T-box 5
Tbx6	T-box 6
Tbxa2r	Tp receptor|TP|thromboxane A2 receptor
Tbxas1	CYP5|TXS|TXAS|CYP5A1|thromboxane A synthase 1, platelet
Tc2n	Mtac2d1|Tac2-N|4933406D09Rik|tandem C2 domains, nuclear
Tcaf1	3321401G04Rik|Fam115a|2810407D09Rik|A230020K05Rik|TRPM8 channel-associated factor 1
Tcaf2	Fam115c|TRPM8 channel-associated factor 2
Tcaf3	Fam115e|Eapa2|TRPM8 channel-associated factor 3
Tcaim	D9Ertd402e|LOC382117|T cell activation inhibitor, mitochondrial
Tcam1	4930570F09Rik|testicular cell adhesion molecule 1
Tcap	Telethonin|titin-cap
Tcea1	S-II|transcription elongation factor A (SII) 1
Tcea2	SII-T1|S-II-T1|Tceat|transcription elongation factor A (SII), 2
Tcea3	S-II|transcription elongation factor A (SII), 3
Tceal1	pp21|P21|0610011M09Rik|transcription elongation factor A (SII)-like 1
Tceal3	1100001D19Rik|transcription elongation factor A (SII)-like 3
Tceal5	6430401A05Rik|transcription elongation factor A (SII)-like 5
Tceal6	1500026B10Rik|transcription elongation factor A (SII)-like 6
Tceal7	1110018P05Rik|transcription elongation factor A (SII)-like 7
Tceal8	3930402F23Rik|transcription elongation factor A (SII)-like 8
Tceanc	A630018P17Rik|LOC245695|transcription elongation factor A (SII) N-terminal and central domain containing
Tceanc2	6330404A07Rik|2210012G02Rik|2210010B22Rik|Tdeanc2|transcription elongation factor A (SII) N-terminal and central domain containing 2
Tceb1	elongin C|2610301I15Rik|transcription elongation factor B (SIII), polypeptide 1
Tceb2	18 kDa, elongin B|0610040H15Rik|transcription elongation factor B (SIII), polypeptide 2
Tceb3	Elongin A|transcription elongation factor B (SIII), polypeptide 3
Tcerg1	Fbp28|Taf2s|ca150|2900090C16Rik|2410022J09Rik|p144|transcription elongation regulator 1 (CA150)
Tcerg1l	5730476P14Rik|transcription elongation regulator 1-like
Tcf12	ALF1|HEB|ME1|REB|HEBAlt|HTF-4|HTF4|bHLHb20|transcription factor 12
Tcf15	bHLH-EC2|paraxis|Meso1|transcription factor 15
Tcf19	5730403J10Rik|transcription factor 19
Tcf20	SPBP|stromelysin 1 PDGF responsive element binding protein|2810438H08Rik|transcription factor 20
Tcf21	Pod-1|podocyte-expressed 1|capsulin|Pod1|epc|epicardin|bHLHa23|transcription factor 21
Tcf23	bHLHa24|Out|2010002O16Rik|transcription factor 23
Tcf24	transcription factor 24
Tcf25	Nulp1|1100001J13Rik|D8Ertd325e|1810041K11Rik|transcription factor 25 (basic helix-loop-helix)
Tcf3	Tcfe2a|E12|A1|E47|Pan1|Pan2|E2A|bHLHb21|ALF2|transcription factor 3
Tcf4	ITF-2b|bHLHb19|SEF-2|5730422P05Rik|ITF-2|SEF2-1|MITF-2B|ASP-I2|MITF-2A|ME2|E2.2|TFE|E2-2|transcription factor 4
Tcf7	T cell factor-1|Tcf1|T-cell factor 1|TCF-1|transcription factor 7, T cell specific
Tcf7l1	Tcf3|transcription factor 7 like 1 (T cell specific, HMG box)
Tcf7l2	Tcf4|mTcf-4E|TCF4B|Tcf-4|TCF4E|mTcf-4B|transcription factor 7 like 2, T cell specific, HMG box
Tcfl5	Figlb|FIG beta|transcription factor-like 5 (basic helix-loop-helix)
Tchh	AHF|Thh|trichohyalin
Tchhl1	S100a17|Thhl1|trichohyalin-like 1
Tchp	A930031F18Rik|trichoplein, keratin filament binding
Tcirg1	V-ATPase a3|Atp6i|TIRC7|OC-116|ATP6a3|T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3
Tcl1	T cell lymphoma breakpoint 1
Tcl1b1	T cell leukemia/lymphoma 1B, 1
Tcl1b2	T cell leukemia/lymphoma 1B, 2
Tcl1b3	T cell leukemia/lymphoma 1B, 3
Tcl1b4	T cell leukemia/lymphoma 1B, 4
Tcl1b5	D12Ertd644e|T cell leukemia/lymphoma 1B, 5
Tcn2	Tcn-2|transcobalamin 2
Tcof1	treacle|Treacher Collins Franceschetti syndrome 1, homolog
Tcp1	c-cpn|TRic|Tcp-1|Tp63|Ccta|CCT|Cct1|p63|t-complex protein 1
Tcp10a	Gm10326|D17Leh66aa|T66A-a|Tcp-10a|D17Leh66A|t-complex protein 10a
Tcp10b	Tcp-10bt|T66B-a|D17Leh66ba|Tcp-10b|D17Leh66B|t-complex protein 10b
Tcp10c	D17Leh66ca|Tcp-10c|T66C-a|Gm9880|D17Leh66C|t-complex protein 10c
Tcp11	D17Ken1|Tcp-11|t-complex protein 11
Tcp11l1	C130096D04Rik|t-complex 11 like 1
Tcp11l2	E430026E19Rik|t-complex 11 (mouse) like 2
Tcp11x2	1700008I05Rik|Tcp11l3|t-complex 11 family, X-linked 2
Tcstv1	2-cell-stage, variable group, member 1
Tcstv3	clone L3|2-cell-stage, variable group, member 3
Tcta	C85065|9130410M22Rik|Tctal|T cell leukemia translocation altered gene
Tcte1	Tcte-1|D17Sil1|t-complex-associated testis expressed 1
Tcte2	Tcte-2|t-complex-associated testis expressed 2
Tcte3	LC2|Tctex-4|Tcte-3|Tctex-2|Tctex4|Tctex2|D17Leh117c|t-complex-associated testis expressed 3
Tctex1d1	1700055O19Rik|Tctex1 domain containing 1
Tctex1d2	0610012D17Rik|2410011K15Rik|Tctex1 domain containing 2
Tctex1d4	4833401D15Rik|Tctex1 domain containing 4
Tctn1	Tect1|G730031O11Rik|tectonic family member 1
Tctn2	Tect2|4432405B04Rik|tectonic family member 2
Tctn3	Tect3|4930521E07Rik|tectonic family member 3
Tdg	E130317C12Rik|Jza1|thymine DNA glycosylase
Tdgf1	cripto|CR1|teratocarcinoma-derived growth factor 1
Tdh	L-threonine dehydrogenase
Tdo2	TDO|TO|chky|tryptophan 2,3-dioxygenase
Tdp1	2810481F14Rik|E430034L06Rik|SCAN1|4921509N21Rik|tyrosyl-DNA phosphodiesterase 1
Tdp2	Ttrap|D13Ertd656e|tyrosyl-DNA phosphodiesterase 2
Tdpoz1	2cpoz56|Spopl1|TD and POZ domain containing 1
Tdpoz2	TD and POZ domain containing 2
Tdpoz3	TD and POZ domain containing 3
Tdpoz4	TD and POZ domain containing 4
Tdpoz5	TD and POZ domain containing 5
Tdrd1	MTR-1|tudor domain containing 1
Tdrd12	G1-476-14|ecat8|2410070K17Rik|2410004F06Rik|EG434165|repro23|tudor domain containing 12
Tdrd3	4732418C03Rik|tudor domain containing 3
Tdrd5	tudor domain containing 5
Tdrd6	tudor domain containing 6
Tdrd7	5730495N10Rik|tudor domain containing 7
Tdrd9	4930441E05Rik|tudor domain containing 9
Tdrkh	2700091C21Rik|Tdrd2|tudor and KH domain containing protein
Tdrp	2610019F03Rik|testis development related protein
Tead1	TEF-1|Gtrgeo5|2610024B07Rik|mTEF-1|TEAD-1|B230114H05Rik|Tcf13|TEA domain family member 1
Tead2	TEAD-2|Etdf|TEF-4|TEA domain family member 2
Tead3	TEAD-3|ETFR-1|Tcf13r2|DTEF-1|TEF-5|TEA domain family member 3
Tead4	ETFR-2a|Tcf13r1|Tefr|Tef3|TEAD-4|Tefr1a|TEF-3|Rtef1|Etfr2|TEA domain family member 4
Tec	tec protein tyrosine kinase
Tecpr1	2210010N04Rik|tectonin beta-propeller repeat containing 1
Tecpr2	4930573I19Rik|tectonin beta-propeller repeat containing 2
Tecr	SC2|Gpsn2|D17Ertd178e|2410016D23Rik|A230102P12Rik|trans-2,3-enoyl-CoA reductase
Tecrl	D330017N19Rik|Srd5a2l2|trans-2,3-enoyl-CoA reductase-like
Tecta	Tctna|[a]-tectorin|tectorin alpha
Tectb	[b]-tectorin|Tctnb|tectorin beta
Teddm1a	e9-1|Teddm1|Epdd1|transmembrane epididymal protein 1A
Teddm1b	Gm5531|transmembrane epididymal protein 1B
Teddm2	e9-2|5830403L16Rik|transmembrane epididymal family member 2
Teddm3	2310042E22Rik|transmembrane epididymal family member 3
Tef	2310028D20Rik|thyrotroph embryonic factor
Tefm	FLJ22729|1110002N22Rik|transcription elongation factor, mitochondrial
Tek	Cd202b|Hyk|tie-2|Tie2|endothelial-specific receptor tyrosine kinase
Tekt1	MT14|tektin 1
Tekt2	tektin-t|tektin 2
Tekt3	4933407G07Rik|tektin 3
Tekt4	1700010L19Rik|tektin 4
Tekt5	3300001K11Rik|tektin 5
Telo2	1200003M09Rik|TEL2, telomere maintenance 2, homolog (S. cerevisiae)
Ten1	2310004N24Rik|TEN1 telomerase capping complex subunit
Tenm1	Odz1|teneurin-1|Ten-m1|TCAP-1|teneurin transmembrane protein 1
Tenm2	Odz2|D3Bwg1534e|2610040L17Rik|9330187F13Rik|Ten-m2|teneurin transmembrane protein 2
Tenm3	2610100B16Rik|Ten-m3|Odz3|teneurin transmembrane protein 3
Tenm4	Odz4|Doc4|l7Rn3|l(7)-3Rn|Ten-m4|ELM2|teneurin transmembrane protein 4
Tep1	Tp1|telomerase associated protein 1
Tepp	1700055M20Rik|testis, prostate and placenta expressed
Terf1	Trbf1|Trf1|Pin2|telomeric repeat binding factor 1
Terf2	TRF2|telomeric repeat binding factor 2
Terf2ip	Rap1|telomeric repeat binding factor 2, interacting protein
Tert	TR|telomerase reverse transcriptase
Tes	Tes2|Tes1|D6Ertd352e|testin|testin2|testis derived transcript
Tesc	1010001A17Rik|2410011K10Rik|TE-1|tescalcin
Tescl	1700008P20Rik|tescalcin-like
Tesk1	testis specific protein kinase 1
Tesk2	testis-specific kinase 2
Tespa1	5830405N20Rik|A430001F24Rik|thymocyte expressed, positive selection associated 1
Tet1	Cxxc6|2510010B09Rik|BB001228|D10Ertd17e|tet methylcytosine dioxygenase 1
Tet2	Ayu17-449|E130014J05Rik|tet methylcytosine dioxygenase 2
Tet3	B430006D22Rik|D230004J03Rik|tet methylcytosine dioxygenase 3
Tex10	clone 18330|2610206N19Rik|2810462N03Rik|testis expressed gene 10
Tex101	TES101RP|1700008H15Rik|testis expressed gene 101
Tex11	4930565P14Rik|testis expressed gene 11
Tex12	5730518K06Rik|testis expressed gene 12
Tex13	4933403J23Rik|testis expressed gene 13
Tex13a	1700025D03Rik|testis expressed 13A
Tex14	testis expressed gene 14
Tex15	2210014E14Rik|testis expressed gene 15
Tex16	testis expressed gene 16
Tex19.1	2410081M02Rik|Tex19|Tex19.1|testis expressed gene 19.1
Tex19.2	4921530G04Rik|Tex19.2|testis expressed gene 19.2
Tex2	Def-5|4930568E07Rik|Taz4|testis expressed gene 2
Tex21	4931406F04Rik|4931421K24Rik|tsec-2|4931412D23Rik|testis expressed gene 21
Tex22	Tep22|1700028O09Rik|testis expressed gene 22
Tex24	1700108N07Rik|TESF-1|testis expressed gene 24
Tex26	4930588N13Rik|testis expressed 26
Tex261	3110001O07Rik|TEG-261|testis expressed gene 261
Tex264	TEG-264|testis expressed gene 264
Tex28	LOC385380|testis expressed 28
Tex29	1700018L24Rik|testis expressed 29
Tex30	3110030D08Rik|1700029F09Rik|testis expressed 30
Tex33	1700061J05Rik|testis expressed 33
Tex35	1700057K13Rik|testis expressed 35
Tex36	4930404H21Rik|testis expressed 36
Tex37	1700011F03Rik|testis expressed 37
Tex38	4930544O15Rik|testis expressed 38
Tex40	1700019N12Rik|A430107B04Rik|testis expressed 40
Tex43	1700065I17Rik|testis expressed 43
Tex9	tsec-1|testis expressed gene 9
Tfam	Hmgts|tsHMG|mtTFA|transcription factor A, mitochondrial
Tfap2a	AP2alpha|Ap2tf|Tcfap2a|Ap2|Ap-2 (a)|AP-2 alpha|transcription factor AP-2, alpha
Tfap2b	E130018K07Rik|AP-2(beta)|Tcfap2b|transcription factor AP-2 beta
Tfap2c	Stra2|Ap-2.2|AP2gamma|Tcfap2c|transcription factor AP-2, gamma
Tfap2d	Tcfap2d|transcription factor AP-2, delta
Tfap2e	Tcfap2e|AP-2e|transcription factor AP-2, epsilon
Tfap4	AP-4|bHLHc41|Tcfap4|D930048N17Rik|transcription factor AP4
Tfb1m	transcription factor B1, mitochondrial
Tfb2m	Hkp1|transcription factor B2, mitochondrial
Tfcp2	CP-2|LBP-1c|CP2|LBP1|D230015P20Rik|Tcfcp2|LSF|UBP-1|LBP-1d|transcription factor CP2
Tfcp2l1	Tcfcp2l1|Cp2l1|1810030F05Rik|4932442M07Rik|LBP-9|D930018N21Rik|Crtr-1|transcription factor CP2-like 1
Tfdp1	Drtf1|Dp1|transcription factor Dp 1
Tfdp2	DP3|A330080J22Rik|1110029I05Rik|DP-3|DP3|transcription factor Dp 2
Tfe3	Tfe-3|Tcfe3|F830016E06Rik|bHLHe33|Tfe3|transcription factor E3
Tfeb	TFEB|bHLHe35|Tcfeb|transcription factor EB
Tfec	Tcfec|TFEC|bHLHe34|transcription factor EC
Tff1	Bcei|PS2|trefoil factor 1
Tff2	SP|mSP|trefoil factor 2 (spasmolytic protein 1)
Tff3	mITF|ITF|trefoil factor 3, intestinal
Tfg	Trk-fused gene
Tfip11	Tip39|tuftelin interacting protein 11
Tfpi	A630013F22Rik|tissue factor pathway inhibitor
Tfpi2	PP5/TFPI-2|tissue factor pathway inhibitor 2
Tfpt	FB1|Amida|2400004F01Rik|TCF3 (E2A) fusion partner
Tfr2	Tfr2|Trfr2|transferrin receptor 2
Tfrc	Mtvr-1|E430033M20Rik|Mtvr1|TfR1|2610028K12Rik|p90|Trfr|CD71|transferrin receptor
Tg	Tgn|thyroglobulin
Tgds	2610025M23Rik|2610017J16Rik|TDP-glucose 4,6-dehydratase
Tgfa	transforming growth factor alpha
Tgfb1	Tgfb-1|TGF-beta 1|Tgfb|TGF-beta1|TGFbeta1|transforming growth factor, beta 1
Tgfb1i1	hic-5|TSC-5|ARA55|transforming growth factor beta 1 induced transcript 1
Tgfb2	Tgf-beta2|Tgfb-2|transforming growth factor, beta 2
Tgfb3	Tgfb-3|transforming growth factor, beta 3
Tgfbi	bIG-h3|68kDa|Beta-ig|transforming growth factor, beta induced
Tgfbr1	TbetaR-I|TbetaRI|ALK5|Alk-5|transforming growth factor, beta receptor I
Tgfbr2	TBR-II|TbetaR-II|1110020H15Rik|TbetaRII|transforming growth factor, beta receptor II
Tgfbr3	1110036H20Rik|betaglycan|TBRIII|transforming growth factor, beta receptor III
Tgfbr3l	LOC100039590|Gm14378|transforming growth factor, beta receptor III-like
Tgfbrap1	3110018K12Rik|transforming growth factor, beta receptor associated protein 1
Tgif1	Tgif|TGFB-induced factor homeobox 1
Tgif2	TALE family homeobox|5730599O09Rik|TGFB-induced factor homeobox 2
Tgif2lx1	Tex1|Tgifx1|Tgif2lx|TGFB-induced factor homeobox 2-like, X-linked 1
Tgif2lx2	TGFB-induced factor homeobox 2-like, X-linked 2
Tgm1	protein-glutamine-gamma-glutamyltransferase|TG K|2310004J08Rik|K polypeptide|TGase 1|transglutaminase 1, K polypeptide
Tgm2	tissue transglutaminase|TG2|TGase2|tTG|G[a]h|protein-glutamine gamma-glutamyltransferase|tTGas|TG C|transglutaminase 2, C polypeptide
Tgm3	TG E|transglutaminase 3, E polypeptide
Tgm4	9530008N10Rik|experimental autoimmune prostatitis antigen 1|Eapa1|transglutaminase 4 (prostate)
Tgm5	2310007C07Rik|TGx|transglutaminase 5
Tgm6	TGM3L|transglutaminase 6
Tgm7	TGz|transglutaminase 7
Tgoln1	D6Ertd384e|TGN38A|TGN38|Ttgn1|trans-golgi network protein
Tgs1	Pimt|Ncoa6ip|D4Ertd800e|trimethylguanosine synthase homolog (S. cerevisiae)
Tgtp1	Mg21|Gtp2|Tgtp|T cell specific GTPase 1
Tgtp2	T cell specific GTPase 2
Th	tyrosine hydroxylase
Tha1	GLY1|1300017K07Rik|threonine aldolase 1
Thada	thyroid adenoma associated
Thap1	4833431A01Rik|THAP domain containing, apoptosis associated protein 1
Thap11	CTG-B45d|Ronin|2810036E22Rik|THAP domain containing 11
Thap2	9030625G08Rik|2900040O07Rik|THAP domain containing, apoptosis associated protein 2
Thap3	2210418H06Rik|2010013E08Rik|THAP domain containing, apoptosis associated protein 3
Thap4	2010320B01Rik|THAP domain containing 4
Thap7	1810004B07Rik|THAP domain containing 7
Thap8	1700020L13Rik|THAP domain containing 8
Thbd	CD141|TM|thrombomodulin
Thbs1	TSP1|tbsp1|Thbs-1|TSP-1|thrombospondin 1
Thbs2	Thrombospondin-2|TSP2|Thbs-2|thrombospondin 2
Thbs3	Thbs-3|TSP3|thrombospondin 3
Thbs4	TSP-4|TSP4|thrombospondin 4
Theg	testicular haploid expressed gene
Thegl	1700023E05Rik|theg spermatid protein like
Them4	2700077M13Rik|4921507I02Rik|thioesterase superfamily member 4
Them5	1110038F21Rik|1110007B02Rik|thioesterase superfamily member 5
Them6	4930572J05Rik|thioesterase superfamily member 6
Them7	0610012H03Rik|thioesterase superfamily member 7
Themis	Gasp|E430004N04Rik|Tsepa|thymocyte selection associated
Themis2	ICB-1|BC013712|thymocyte selection associated family member 2
Themis3	9130404H23Rik|thymocyte selection associated family member 3
Thg1l	1700121M19Rik|5730409G07Rik|tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)
Thnsl1	threonine synthase-like 1 (bacterial)
Thnsl2	TSH2|threonine synthase-like 2 (bacterial)
Thoc1	3110002N20Rik|NMP-84|THO complex 1
Thoc2	LOC382210|D130005M13Rik|LOC386493|6330441O12Rik|THO complex 2
Thoc3	2410044K02Rik|THO complex 3
Thoc5	Fmip|PK1.3|1700060C24Rik|A430085L24Rik|THO complex 5
Thoc6	F830014G06Rik|Wdr58|THO complex 6 homolog (Drosophila)
Thoc7	9230101K24Rik|1500006O09Rik|THO complex 7 homolog (Drosophila)
Thop1	EP24.15|thimet oligopeptidase 1
Thpo	TPO-2|TPO-1|TPO-3|myeloproliferative leukemia virus oncogene ligand|TPO-4|Mpllg|TPO|thrombopoietin
Thra	6430529J03Rik|c-erbAalpha|Erba|T3R[a]|T3Ralpha|Rvr|TR alpha 2|TR alpha 1|Nr1a1|Thra2|Thra1|thyroid hormone receptor alpha
Thrap3	B230333E16Rik|9330151F09Rik|Trap150|thyroid hormone receptor associated protein 3
Thrb	Nr1a2|Thrb1|T3R[b]|T3Rbeta|c-erbAbeta|TR beta|Thrb2|thyroid hormone receptor beta
Thrsp	Spot 14|S14|thyroid hormone responsive
Thsd1	4833423O18Rik|Tmtsp|thrombospondin, type I, domain 1
Thsd4	B230114P05Rik|ADAMTSL6|thrombospondin, type I, domain containing 4
Thsd7a	LOC330267|thrombospondin, type I, domain containing 7A
Thsd7b	D130067I03Rik|1700074E13Rik|thrombospondin, type I, domain containing 7B
Thtpa	ThTPase|thiamine triphosphatase
Thumpd1	6330575P11Rik|THUMP domain containing 1
Thumpd2	2810025A12Rik|THUMP domain containing 2
Thumpd3	Gtrosa26as|THUMP domain containing 3
Thy1	Thy-1.2|Thy-1|T25|Thy 1.2|Thy1.1|CD90|Thy1.2|thymus cell antigen 1, theta
Thyn1	Thy28|D730042P09Rik|thymocyte nuclear protein 1
Tia1	2310050N03Rik|mTIA-1|cytotoxic granule-associated RNA binding protein 1
Tial1	mTIAR|TIAR|5330433G13Rik|Tia1 cytotoxic granule-associated RNA binding protein-like 1
Tiam1	D16Ium10|D16Ium10e|T cell lymphoma invasion and metastasis 1
Tiam2	3000002F19Rik|STEF|T cell lymphoma invasion and metastasis 2
Ticam1	TICAM-1|Trif|toll-like receptor adaptor molecule 1
Ticam2	TRAM|Tirp|toll-like receptor adaptor molecule 2
Ticrr	5730590G19Rik|TOPBP1-interacting checkpoint and replication regulator
Tie1	tie-1|TIE|D430008P04Rik|tyrosine kinase with immunoglobulin-like and EGF-like domains 1
Tifa	T2bp|TRAF-interacting protein with forkhead-associated domain
Tifab	TRAF-interacting protein with forkhead-associated domain, family member B
Tigar	9630033F20Rik|Tigar|Trp53 induced glycolysis repulatory phosphatase
Tigd2	3632410O17Rik|tigger transposable element derived 2
Tigd3	tigger transposable element derived 3
Tigd4	Tigd4|C130063O11Rik|tigger transposable element derived 4
Tigd5	FLJ14926|tigger transposable element derived 5
Tigit	Vstm3|ENSMUSG00000071552|T cell immunoreceptor with Ig and ITIM domains
Timd2	Tim2|TIM-2|T cell immunoglobulin and mucin domain containing 2
Timd4	TIM-4|B430010N18Rik|Tim4|T cell immunoglobulin and mucin domain containing 4
Timeless	tim|timeless circadian clock 1
Timm10	Tim13|Timm13a|translocase of inner mitochondrial membrane 10
Timm10b	Tim9b|Fracture Callus 1|FxC1|Tim10b|translocase of inner mitochondrial membrane 10B
Timm13	D10Ertd378e|Timm9|Tim9|translocase of inner mitochondrial membrane 13
Timm17a	mTim17a|17kDa|translocase of inner mitochondrial membrane 17a
Timm17b	mTim17b|17kDa|Sfc3|translocase of inner mitochondrial membrane 17b
Timm21	1700034H14Rik|2700002I20Rik|tranlocase of inner mitochondrial membrane 21
Timm22	2610511O07Rik|translocase of inner mitochondrial membrane 22
Timm23	Tim23|translocase of inner mitochondrial membrane 23
Timm44	D8Ertd118e|Mimt44|0710005E20Rik|Tim44|translocase of inner mitochondrial membrane 44
Timm50	TIM50L|2810403L02Rik|translocase of inner mitochondrial membrane 50
Timm8a1	Fci-12|Ddp1|Tim8a|DXHXS1274E|translocase of inner mitochondrial membrane 8A1
Timm8a2	translocase of inner mitochondrial membrane 8A2
Timm8b	Tim8b|translocase of inner mitochondrial membrane 8B
Timm9	Tim10a|Timm10|2810011L15Rik|translocase of inner mitochondrial membrane 9
Timmdc1	4930455C21Rik|2810021C21Rik|translocase of inner mitochondrial membrane domain containing 1
Timp1	TIMP-1|Clgi|tissue inhibitor of metalloproteinase 1
Timp2	Timp-2|D11Bwg1104e|TIMP-2|tissue inhibitor of metalloproteinase 2
Timp3	Timp-3|tissue inhibitor of metalloproteinase 3
Timp4	TIMP-4|tissue inhibitor of metalloproteinase 4
Tinag	TIN-ag|tubulointerstitial nephritis antigen
Tinagl1	Lcn7|AZ-1|1110021J17Rik|androgen-regulated gene 1|Arg1|tubulointerstitial nephritis antigen-like 1
Tinf2	TIN2|D14Wsu146e|Terf1 (TRF1)-interacting nuclear factor 2
Tiparp	PARP-7|DDF1|PARP7|TCDD-inducible poly(ADP-ribose) polymerase
Tipin	1110018P21Rik|1110005A05Rik|timeless interacting protein
Tiprl	1810011K17Rik|TIP41, TOR signalling pathway regulator-like (S. cerevisiae)
Tirap	Mal|wyatt|MyD88-adapter-like|C130027E04Rik|Mal|toll-interleukin 1 receptor (TIR) domain-containing adaptor protein
Tjap1	Pilt|Tjp4|0610041D19Rik|tight junction associated protein 1
Tjp1	ZO1|ZO-1|tight junction protein 1
Tjp2	ZO-2|tight junction protein 2
Tjp3	ZO-3|tight junction protein 3
Tk1	Tk-1|D530002A18Rik|thymidine kinase 1
Tk2	thymidine kinase 2, mitochondrial
Tkfc	Dak|triokinase, FMN cyclase
Tkt	p68|transketolase
Tktl1	transketolase-like 1
Tktl2	4933401I19Rik|transketolase-like 2
Tlcd1	0610007A15Rik|0610030G03Rik|TLC domain containing 1
Tlcd2	2010305C02Rik|TLC domain containing 2
Tldc1	4632415K11Rik|TBC/LysM associated domain containing 1
Tldc2	Gm1332|LOC383766|TBC/LysM associated domain containing 2
Tle1	Tle4l|C230057C06Rik|Grg1|Estm14|transducin-like enhancer of split 1, homolog of Drosophila E(spl)
Tle2	Grg2|transducin-like enhancer of split 2, homolog of Drosophila E(spl)
Tle3	ESG|Grg3b|Grg3a|2610103N05Rik|transducin-like enhancer of split 3, homolog of Drosophila E(spl)
Tle4	Grg4|ESTM14|Bce1|ESTM13|5730411M05Rik|transducin-like enhancer of split 4, homolog of Drosophila E(spl)
Tle6	Grg6|1810057E06Rik|transducin-like enhancer of split 6, homolog of Drosophila E(spl)
Tlk1	4930545J15Rik|tousled-like kinase 1
Tlk2	protein kinase U-alpha|PKUalpha|4933403M19Rik|tousled-like kinase 2 (Arabidopsis)
Tll1	Tll-1|tolloid-like
Tll2	tolloid-like 2
Tln1	talin 1
Tln2	talin 2
Tlr1	toll-like receptor 1
Tlr11	LOC239081|toll-like receptor 11
Tlr12	Tlr11|LOC384059|toll-like receptor 12
Tlr13	LOC279572|toll-like receptor 13
Tlr2	Ly105|toll-like receptor 2
Tlr3	toll-like receptor 3
Tlr4	Rasl2-8|Lps|lipopolysaccharide response|toll-like receptor 4
Tlr5	toll-like receptor 5
Tlr6	toll-like receptor 6
Tlr7	toll-like receptor 7
Tlr8	toll-like receptor 8
Tlr9	toll-like receptor 9
Tlx1	Hox-11|Hox11|T cell leukemia, homeobox 1
Tlx2	Hox11l1|Enx|Tlx1l1|Hox11L.1|NCX|Ncx1|T cell leukemia, homeobox 2
Tlx3	Hox11l2|Tlx1l2|Rnx|T cell leukemia, homeobox 3
Tm2d1	2310026L18Rik|Bbp|TM2 domain containing 1
Tm2d2	2410018G23Rik|TM2 domain containing 2
Tm2d3	1110025I09Rik|5930422O05Rik|TM2 domain containing 3
Tm4sf1	L6|L6 antigen|12A8 target antigen|M3s1|transmembrane 4 superfamily member 1
Tm4sf19	EG277203|transmembrane 4 L six family member 19
Tm4sf20	1810018L02Rik|transmembrane 4 L six family member 20
Tm4sf4	il-TMP|transmembrane 4 superfamily member 4
Tm4sf5	2010003F10Rik|transmembrane 4 superfamily member 5
Tm6sf1	C630016D09Rik|transmembrane 6 superfamily member 1
Tm6sf2	transmembrane 6 superfamily member 2
Tm7sf2	ANG1|3110041O18Rik|transmembrane 7 superfamily member 2
Tm7sf3	2010003B14Rik|transmembrane 7 superfamily member 3
Tm9sf1	MP70|1200014D02Rik|transmembrane 9 superfamily member 1
Tm9sf2	D14Ertd64e|1500001N15Rik|P76|transmembrane 9 superfamily member 2
